corp_name,year,stock_code,당기순이익,매출액,부채총계,영업이익,자본총계,자산총계
DSR제강,2022,069730,28926447513.0,261687161748.0,76302600310.0,26367413746.0,183095556612.0,259398156922.0
DSR제강,2023,069730,12943787871.0,212953620629.0,67790249191.0,23494981828.0,195197857716.0,262988106907.0
DSR제강,2024,069730,-28298728533.0,215582385097.0,59420779472.0,19511056524.0,165264567456.0,224685346928.0
DS단석,2023,017860,41596180329.0,1040663377039.5,409544056341.0,77171757263.0,279985209213.5,689529265554.5
DS단석,2024,017860,-5098913752.0,930232006508.5,422410152734.0,14364335624.5,286376103786.0,708786256520.0
DXVX,2022,180400,-932546153.5,30388809372.5,45564357513.0,2347049918.0,34245037184.0,79809394697.0
DXVX,2023,180400,-27461466138.5,33820131136.5,61153930150.0,-13327477544.5,25265323805.5,86419253955.5
DXVX,2024,180400,-50044335484.0,26440059633.5,48372192124.5,-20332790793.5,14657320118.0,63029512242.5
DYP,2022,092780,260870099.5,360617873037.0,213972928080.0,5858156430.5,115316933452.0,329289861532.0
DYP,2023,092780,4233885354.0,386387406768.5,215222569916.5,10090489883.0,112538185273.5,327760755190.0
DYP,2024,092780,4644101059.0,398190940368.5,240328186997.0,6163692521.0,118719813916.0,359048000913.0
E1,2022,017940,140333537349.0,7792201311017.0,2442130098702.5,272712736723.0,1556722741031.5,3998852839734.0
E1,2023,017940,206415755760.5,7620340242129.0,2512789474926.5,85471129242.5,1734740086762.0,4247529561688.5
E1,2024,017940,82787465012.5,10090768447823.0,7623270563098.0,198601124514.5,2016053314635.0,9639323877733.0
E8,2023,418620,-6398832042.0,3665563019.0,15321217219.0,-5247186762.5,-8249077062.0,7072140157.0
E8,2024,418620,-10768872493.5,2285497728.0,18540549897.0,-10595951509.0,7481084745.0,26021634642.0
EDGC,2022,245620,-27526286325.5,78764875923.5,130450520615.0,-10190303366.5,35243721498.0,165694242113.0
EDGC,2023,245620,-30633801404.5,74237898704.5,103133181340.5,-9120637716.5,42612334412.0,145745515752.5
EDGC,2024,245620,-40702163454.5,22031721605.0,95752397738.0,-11018297442.0,11761249448.5,107513647186.5
EG,2022,037370,-5620692563.0,59549446590.5,62532459132.5,-5215951012.5,56852050201.5,119384509334.0
EG,2023,037370,-22010331920.5,46566415314.0,80830755400.0,-12026030161.0,36793500305.5,117624255705.5
EG,2024,037370,-7952053749.0,49300761265.5,90147116255.0,-3259152651.0,29726086230.0,119873202485.0
EMB,2022,278990,-878591045.5,23417192028.5,17407777999.0,1453000728.0,12494266594.0,29902044593.0
EMB,2023,278990,2903958461.5,23671490424.5,16590121000.5,610359961.5,29720524717.0,46310645717.5
EMB,2024,278990,2370055064.5,26968469658.5,24668019561.5,390597246.5,29044875741.0,53712895302.5
ESR켄달스퀘어리츠,2022,365550,20869003149.0,39140323269.5,559611248138.5,25760162252.0,1139051778926.0,1698663027064.5
ESR켄달스퀘어리츠,2023,365550,20591815405.5,41498652435.0,628599168133.0,26911118521.5,1130068873150.5,1758668041283.5
ESR켄달스퀘어리츠,2024,365550,16506215966.5,43839303858.0,757646717171.0,28459718304.5,1114386198119.5,1872032915290.5
ES큐브,2022,050120,15194035446.0,64032020781.0,8778041575.0,10173504277.5,90738437015.5,99516478590.5
ES큐브,2023,050120,-6601407224.0,52914250902.0,5678844725.0,6749692838.0,84163753721.0,89842598446.0
ES큐브,2024,050120,2494945492.0,13883945577.5,3990690379.0,-2752241720.0,87856574691.0,91847265070.0
FF,2022,383220,414145986794.5,1712241205713.0,520214299128.0,524292254041.0,929442521550.5,1449656820678.5
FF,2023,383220,420174603795.0,1836083122514.5,590313293539.5,539461062576.5,1293056007507.5,1883369301047.0
FF,2024,383220,339745924404.0,1707001987066.5,569196301882.0,426572250672.5,1535507885669.5,2104704187551.5
FF 홀딩스,2022,007700,220648124551.5,929724666360.0,357298867288.5,255041300741.0,2406312754293.5,2763611621582.0
FF 홀딩스,2023,007700,211669419064.5,1017631051806.0,327915566754.5,271649713491.5,2569010550163.0,2896926116917.5
FF 홀딩스,2024,007700,172191478105.0,983977812057.0,337195357655.0,233151484194.5,2659209906052.0,2996405263707.0
FSN,2022,214270,-1570942283.0,122315245050.0,69695686949.0,-251357516.0,158694610501.0,228390297450.0
FSN,2023,214270,-24768355182.0,102096554893.0,76000267717.5,-4288871830.5,119229579046.0,195229846763.5
