stock_code,year,year_end_price
11230,2024,3185
1820,2024,27550
390,2024,6140
27580,2024,1245
38540,2024,1471
415580,2024,2105
452670,2024,1967
1290,2024,425
41650,2024,2895
91580,2024,7420
263810,2024,2820
89980,2024,18300
42940,2024,4755
42600,2024,9830
75180,2024,3280
107600,2024,15530
411080,2024,6580
252990,2024,3920
7540,2024,37700
248170,2024,24750
378800,2024,3500
294630,2024,3400
38070,2024,7110
6730,2024,5420
79650,2024,1235
100660,2024,3620
7860,2024,6750
200880,2024,11770
19770,2024,3390
17390,2024,49800
43710,2024,560
92190,2024,3060
46890,2024,7300
4410,2024,148
63170,2024,6780
27040,2024,228
18680,2024,3310
36120,2024,2450
21050,2024,1152
93920,2024,5470
189860,2024,3865
178320,2024,26850
122690,2024,1916
140070,2024,2555
11370,2024,850
65710,2024,20650
8490,2024,12690
35890,2024,1595
357550,2024,39300
3100,2024,14490
7610,2024,3000
67370,2024,6950
217620,2024,3810
171090,2024,41650
136490,2024,5640
86710,2024,9050
14620,2024,23250
37350,2024,4900
14910,2024,1059
4980,2024,7450
11300,2024,702
458650,2024,17010
81580,2024,3575
45300,2024,2520
15750,2024,4965
365340,2024,35500
180,2024,1318
80470,2024,3575
43260,2024,1121
148150,2024,8250
2420,2024,5030
188260,2024,2555
53060,2024,992
340440,2024,1135
17510,2024,4560
4360,2024,11160
4490,2024,71900
11560,2024,10100
267080,2024,2295
396300,2024,2300
1430,2024,19760
306200,2024,120700
3030,2024,180500
19440,2024,13100
58650,2024,95600
13000,2024,1416
100700,2024,2465
24830,2024,5780
91090,2024,1270
21820,2024,7250
67830,2024,2005
258830,2024,412
36630,2024,398
39310,2024,1568
75580,2024,8440
67770,2024,2320
53450,2024,5440
222810,2024,1080
252500,2024,817
321370,2024,1604
347000,2024,1908
331920,2024,3275
352770,2024,520
471820,2024,4915
49180,2024,2540
299660,2024,5060
268600,2024,6680
108860,2024,11640
208370,2024,4055
318160,2024,3150
308430,2024,11800
68270,2024,187500
68760,2024,56700
91990,2024,75900
68940,2024,778
7720,2024,867
60230,2024,924
290690,2024,8350
950200,2024,4050
32680,2024,292
258790,2024,987
66910,2024,1040
215090,2024,1505
336370,2024,8200
248070,2024,19210
35610,2024,3925
357780,2024,165400
36830,2024,36100
304100,2024,22350
328380,2024,867
4430,2024,11190
86980,2024,3150
17550,2024,1890
50960,2024,16210
126720,2024,19410
84180,2024,5780
253840,2024,5330
298830,2024,4360
236200,2024,24350
94840,2024,6600
192440,2024,19370
424960,2024,14370
136510,2024,62
99440,2024,3450
276040,2024,3005
204210,2024,2525
60240,2024,441
115570,2024,2505
330730,2024,3765
352090,2024,3095
253450,2024,43050
408900,2024,2420
204630,2024,4650
415380,2024,8270
26890,2024,8630
13810,2024,3520
347700,2024,3955
49830,2024,7470
20710,2024,4045
33170,2024,864
48870,2024,2595
25320,2024,5930
134790,2024,22200
340810,2024,3195
269620,2024,889
480,2024,5700
56090,2024,1008
429270,2024,5240
418250,2024,6550
131090,2024,855
462870,2024,63400
16590,2024,5730
290520,2024,2280
29530,2024,37500
4970,2024,9390
1000,2024,984
25870,2024,6120
215600,2024,2510
65350,2024,115900
416180,2024,28600
11930,2024,1171
5390,2024,2170
4170,2024,133000
35510,2024,14500
34300,2024,18110
31430,2024,10100
31440,2024,36000
6880,2024,6230
162300,2024,2640
290560,2024,5880
2800,2024,5430
472220,2024,2055
430220,2024,2100
445970,2024,2115
5800,2024,9140
1720,2024,76000
419270,2024,5200
9270,2024,1467
17000,2024,2800
2700,2024,1410
12790,2024,6430
138070,2024,2495
226330,2024,5250
2870,2024,1268
19170,2024,10310
481850,2024,2030
404990,2024,3435
293940,2024,5640
418210,2024,2245
452980,2024,1942
474660,2024,2000
474930,2024,2080
487360,2024,1924
487830,2024,1991
393360,2024,2075
405640,2024,3920
55550,2024,47650
56700,2024,1691
187270,2024,2965
4080,2024,14300
243840,2024,5120
257720,2024,32700
222800,2024,11030
36710,2024,1042
160980,2024,8530
356890,2024,2810
217330,2024,4535
102280,2024,13450
3410,2024,7000
4770,2024,2075
208640,2024,295
222420,2024,618
37760,2024,1427
99320,2024,40050
49960,2024,14270
88280,2024,2375
403550,2024,18200
50890,2024,6640
394800,2024,5120
177900,2024,7690
475400,2024,24000
109670,2024,8070
66790,2024,1500
222080,2024,7400
4920,2024,1130
352480,2024,45700
23460,2024,109
264660,2024,9310
352700,2024,2800
458870,2024,10510
297090,2024,4375
112610,2024,41900
900120,2024,66
359090,2024,1162
115530,2024,391
115480,2024,672
376290,2024,2865
189330,2024,5700
96530,2024,22800
101240,2024,3840
60590,2024,6550
308170,2024,5930
260930,2024,5270
413630,2024,1720
13990,2024,5120
123860,2024,20600
25980,2024,5300
8700,2024,1319
125210,2024,5870
90430,2024,104800
2790,2024,20800
357580,2024,5110
52710,2024,3735
74430,2024,898
92040,2024,3860
83930,2024,12020
149950,2024,7800
36010,2024,4490
2030,2024,251500
183190,2024,10280
2310,2024,7300
50860,2024,2025
12170,2024,390
136410,2024,6940
246720,2024,4680
67390,2024,504
159010,2024,4190
127710,2024,1628
267850,2024,12020
20560,2024,10400
154030,2024,1935
227610,2024,1049
143160,2024,16710
54800,2024,9400
332370,2024,3690
66430,2024,540
122900,2024,8000
339950,2024,2020
469750,2024,1045
439730,2024,2150
460470,2024,4780
99190,2024,15270
461300,2024,11740
289010,2024,2480
214430,2024,45000
40910,2024,4265
368600,2024,3020
456010,2024,9800
52860,2024,1799
464500,2024,3720
10780,2024,20900
38880,2024,175
3560,2024,10760
307180,2024,2545
101390,2024,2415
461030,2024,10650
451220,2024,7770
90150,2024,845
123010,2024,1144
31310,2024,1906
185490,2024,2560
59100,2024,4890
262840,2024,2290
175250,2024,1815
52460,2024,1991
119830,2024,5290
52770,2024,924
124500,2024,5200
31820,2024,534
10280,2024,639
232830,2024,2900
372800,2024,4670
84850,2024,12750
114840,2024,18690
27360,2024,2430
139990,2024,3885
32080,2024,1216
13310,2024,2405
59120,2024,6580
9320,2024,1004
203690,2024,5600
158430,2024,5730
200350,2024,14750
321820,2024,13170
102950,2024,2525
1540,2024,6530
53800,2024,66200
65660,2024,18890
297570,2024,764
1780,2024,2005
260660,2024,3455
354320,2024,25650
361570,2024,2590
131370,2024,2640
140670,2024,14000
96610,2024,2965
61040,2024,3945
148250,2024,3460
347860,2024,1704
196170,2024,309500
123750,2024,1444
85810,2024,1196
43100,2024,1457
117670,2024,945
314140,2024,5050
291650,2024,1094
293780,2024,6370
18250,2024,13220
161000,2024,6830
310200,2024,2575
299910,2024,6880
179530,2024,2080
900100,2024,992
52790,2024,7090
290740,2024,5060
238090,2024,2920
92600,2024,1157
129890,2024,994
174900,2024,14120
270520,2024,1405
255440,2024,7650
30960,2024,9980
102120,2024,7570
263540,2024,30
238120,2024,3025
19990,2024,4890
11090,2024,578
270660,2024,16450
38680,2024,3950
137310,2024,10280
217480,2024,499
121890,2024,1302
304360,2024,17300
389500,2024,18000
42110,2024,1426
298060,2024,1891
65420,2024,206
103230,2024,3250
260970,2024,44200
101490,2024,25600
95910,2024,1430
275630,2024,3255
31330,2024,2605
60540,2024,1535
56190,2024,19500
80000,2024,1618
5850,2024,30150
246250,2024,1925
41510,2024,75600
10580,2024,1339
